epoch,train_loss,train_acc,val_loss,val_acc
1,3.213103480264356,0.14517629070526544,2.751593510309855,0.24791666666666667
2,2.533569294253403,0.2850577616673518,2.2835129578908284,0.32708333333333334
3,2.053073996844588,0.3988021858838425,2.732235066095988,0.2625
4,1.6776778859704236,0.4968521850105486,1.7698544224103292,0.47708333333333336
5,1.3919393633458879,0.5721035310269125,1.6138222893079122,0.5208333333333334
6,1.1357206988057564,0.6409214859420811,1.852609670162201,0.5125
7,0.8802696546260126,0.7131502543994428,1.5155648569266,0.5604166666666667
8,0.6462591087173608,0.7825018295499638,1.6998991668224335,0.54375
9,0.4497491743278178,0.8476388937237891,1.970758306980133,0.5354166666666667
10,0.3322328715563995,0.8890347572033185,1.8908541090786457,0.575
1,3.7499329798025216,0.05459534160382462,3.443698040644328,0.07916666666666666
2,3.168035705984693,0.15153508389791254,2.8978978315989177,0.21875
3,2.7263979690131546,0.24363358366242438,2.5315471490224204,0.2916666666666667
4,2.3086645864609094,0.3368390732006692,2.0723317225774127,0.4
5,1.9661523704278223,0.42226895331553344,1.9187418460845946,0.46458333333333335
6,1.6639168541379623,0.49803322820183965,1.9874525646368661,0.4875
7,1.3734368713833336,0.5712159789831365,1.7351830720901489,0.5020833333333333
8,1.073832554399154,0.6557060340367645,1.8154082934061686,0.5104166666666666
9,0.7939626942866375,0.7400479822703357,2.0812151034673056,0.48125
10,0.5645790163572537,0.8125849436364311,2.030229200174411,0.49166666666666664
