epoch,train_loss,train_acc,val_loss,val_acc
1,3.5596144045164273,0.08399455053915335,3.2931923389434816,0.11458333333333333
2,3.037218019057549,0.17483904270691483,2.7251116752624513,0.2833333333333333
3,2.6203410038145702,0.2655495852984944,2.303107738494873,0.33541666666666664
4,2.2130776753987007,0.3606831863891482,2.2146711667378742,0.37916666666666665
5,1.8679754861742033,0.4438849296938476,1.8561958089470862,0.45208333333333334
6,1.5840996605630713,0.516028210001199,1.8202974478403726,0.4875
7,1.3049496680031285,0.5908657280768693,1.640354728202025,0.5375
8,1.0307707393060976,0.66629077293103,1.788905525704225,0.49583333333333335
9,0.7660912071712815,0.7483887935359409,1.899021259446939,0.49375
10,0.556543175426621,0.8150798905793316,2.0955553907280167,0.4979166666666667
